Rank,name,Position,School,Birthday,Age,Height,Weight (lbs),Wingspan,Hand Width,Reach,Lane (sec),Shuttle (sec),3/4 Sprint (sec),Max Vertical,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,GP,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
9,"Wallace, Cason",PG,Kentucky,11/7/03,20.66,"6'4""",195,"6'8.5""","9.25""","8'5""",10.82,,3.34,36.0,11,11.50,15,12,14,12,11,11,10,7,32,32.2,11.7,0.9,2.8,3.7,4.3,2.0,0.5,2.1,2.4,4.3,9.8,0.439,2.9,5.8,0.500,1.4,4.0,0.350,1.7,2.2,0.773,1.110,13.1,1.0,3.1,4.1,4.8,2.2,0.6,2.3,2.7,4.8,6.5,4.5,2.5,https://www.sports-reference.com/cbb/players/cason-wallace-1.html
10,"Coulibaly, Bilal",SF,France,7/26/04,19.94,"6'6""",230,"7'3""",,,,,,,12,14.50,11,14,12,19,12,15,14,19,36,20.2,6.1,0.9,2.2,3.1,1.0,0.9,0.2,1.1,1.8,2.3,4.3,0.526,1.8,2.9,0.606,0.5,1.4,0.360,1.1,1.8,0.607,1.002,10.8,1.6,3.9,5.5,1.8,1.6,0.3,1.9,3.2,4.0,5.2,2.5,3.2,https://basketball.realgm.com/player/Bilal-Coulibaly/Summary/175550
11,"George, Keyonte",SG,Baylor,11/8/03,20.66,"6'4""",185,"6'5""",,,,,,,13,15.63,17,16,26,13,14,10,18,11,33,28.6,15.3,1.0,3.2,4.2,2.8,1.1,0.2,2.9,2.1,4.7,12.5,0.376,2.4,5.6,0.429,2.3,6.9,0.333,3.6,4.5,0.800,1.145,19.3,1.3,4.0,5.3,3.5,1.4,0.3,3.7,2.6,5.9,7.0,8.7,5.7,https://www.sports-reference.com/cbb/players/keyonte-george-1.html
12,"Bufkin, Kobe",SG,Michigan,9/21/03,20.79,"6'4""",187,"6'8""","9.25""","8'6.5""",11.71,,3.26,36.0,14,15.63,18,13,11,18,18,14,20,13,33,34.0,14.0,0.8,3.8,4.6,2.9,1.3,0.7,1.9,2.4,5.2,10.9,0.477,3.9,7.2,0.542,1.3,3.7,0.351,2.2,2.6,0.846,1.103,14.8,0.8,4.0,4.9,3.1,1.4,0.7,2.0,2.5,5.5,7.6,3.9,2.8,https://www.sports-reference.com/cbb/players/kobe-bufkin-1.html
13,"Smith Jr, Nick",SG,Arkansas,4/18/04,20.21,"6'5""",185,"6'9""",,,,,,,15,16.13,14,10,22,17,16,19,16,15,17,25.8,12.5,0.2,1.4,1.6,1.7,0.8,0.1,1.6,1.5,4.5,11.9,0.378,3.1,7.7,0.403,1.4,4.2,0.333,2.2,2.9,0.759,1.082,17.4,0.3,2.0,2.2,2.4,1.1,0.1,2.2,2.1,6.3,10.7,5.9,4.0,https://www.sports-reference.com/cbb/players/nick-smith-jr-1.html
14,"Hood-Schifino, Jalen",PG,Indiana,6/19/03,21.04,"6'6""",217,"6'10""","9.75""","8'4.5""",,,,,16,16.13,12,17,15,11,17,13,15,29,32,33.1,13.5,0.4,3.7,4.1,3.7,0.8,0.3,2.8,2.4,5.3,12.6,0.421,4.1,9.1,0.451,1.2,3.5,0.343,1.8,2.4,0.750,1.062,14.7,0.4,4.0,4.5,4.0,0.9,0.3,3.0,2.6,5.8,9.9,3.8,2.6,https://www.sports-reference.com/cbb/players/jalen-hood-schifino-1.html
15,"Lively II, Dereck",C,Duke,2/12/04,20.40,"7'1""",230,"7'7""",,,,,,,17,16.50,13,27,10,14,13,17,17,21,34,20.6,5.2,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,2.3,3.4,0.676,2.2,3.0,0.733,0.1,0.4,0.250,0.6,1.0,0.600,0.949,9.1,3.7,5.8,9.4,1.9,0.9,4.2,1.2,4.7,4.0,5.2,0.7,1.7,https://www.sports-reference.com/cbb/players/dereck-lively-ii-1.html
16,"Hawkins, Jordan",SG,UConn,4/29/02,22.18,"6'5""",186,"6'7""","8.75""","8'5.5""",,,,,18,18.13,16,19,18,16,15,26,12,23,37,29.4,16.2,1.0,2.8,3.8,1.3,0.7,0.5,1.4,2.2,4.9,12.0,0.408,2.0,4.4,0.455,2.9,7.6,0.382,3.4,3.8,0.895,1.233,19.8,1.2,3.4,4.7,1.6,0.9,0.6,1.7,2.7,6.0,5.4,9.3,4.7,https://www.sports-reference.com/cbb/players/jordan-hawkins-1.html
17,"Miller, Leonard",PF,G-League Ignite,11/26/03,20.61,"6'10""",213,"7'2""","10.5""","8'10.5""",11.00,,3.33,37.5,19,20.88,23,22,13,15,19,23,22,30,24,30.5,18.0,3.3,7.8,11.1,1.6,0.9,0.8,1.5,2.5,7.3,13.0,0.562,6.6,10.8,0.611,0.7,2.2,0.318,1.6,2.0,0.800,1.100,21.2,3.9,9.2,13.1,1.9,1.1,0.9,1.8,3.0,8.6,12.7,2.6,2.4,https://www.basketball-reference.com/gleague/players/m/millele01d.html
18,"Sensabaugh, Brice",SF,Ohio State,10/30/03,20.68,"6'6""",235,"6'11""",,,,,,,20,21.25,22,32,19,22,20,16,25,14,33,24.5,16.3,1.3,4.1,5.4,1.2,0.5,0.4,2.0,2.5,6.0,12.4,0.484,4.2,7.9,0.532,1.8,4.5,0.400,2.5,3.0,0.833,1.113,24.0,1.9,6.0,7.9,1.8,0.7,0.6,2.9,3.7,8.8,11.6,6.6,4.4,https://www.sports-reference.com/cbb/players/brice-sensabaugh-1.html
19,"Howard, Jett",SF,Michigan,9/14/03,20.81,"6'8""",215,"6'9""",,,,,,,21,21.88,19,28,25,23,22,20,21,17,29,31.8,14.2,0.3,2.6,2.9,2.0,0.4,0.7,1.3,2.2,4.7,11.4,0.412,2.0,4.1,0.488,2.7,7.3,0.370,2.1,2.6,0.808,1.215,16.1,0.3,2.9,3.3,2.3,0.5,0.8,1.5,2.5,5.3,4.6,8.3,2.9,https://www.sports-reference.com/cbb/players/jett-howard-1.html
20,"Murray, Kris",PF,Iowa,8/19/00,23.88,"6'8""",213,"7'0""","9""","8'10""",11.05,,3.24,35.0,22,22.50,25,24,17,20,21,28,19,26,29,34.9,20.2,2.8,5.2,8.0,2.0,1.0,1.2,1.5,2.1,7.5,15.7,0.478,5.2,8.9,0.584,2.3,6.8,0.338,3.0,4.1,0.732,1.086,20.8,2.9,5.4,8.3,2.1,1.0,1.2,1.5,2.2,7.7,9.2,7.0,4.2,https://www.sports-reference.com/cbb/players/kris-murray-1.html
21,"Clowney, Noah",PF,Alabama,7/14/04,19.98,"6'10""",210,"7'2""",,,,,,,23,23.00,21,23,21,41,23,18,13,24,36,25.4,9.8,2.1,5.8,7.9,0.8,0.6,0.9,1.3,2.5,3.4,7.0,0.486,2.5,3.7,0.676,0.9,3.3,0.273,2.0,3.1,0.645,1.029,13.9,3.0,8.2,11.2,1.1,0.9,1.3,1.8,3.5,4.8,5.2,4.7,4.4,https://www.sports-reference.com/cbb/players/noah-clowney-1.html
22,"Whitehead, Dariq",SG,Duke,8/1/04,19.93,"6'7""",217,"6'10""","10""","8'7.5""",,,,,24,24.50,26,29,20,24,25,30,26,16,28,20.6,8.3,0.5,2.0,2.5,1.0,0.8,0.2,1.4,1.5,3.0,7.0,0.429,1.5,3.5,0.429,1.5,3.5,0.429,0.8,1.0,0.800,1.206,14.5,0.9,3.5,4.4,1.7,1.4,0.3,2.4,2.6,5.2,6.1,6.1,1.7,https://www.sports-reference.com/cbb/players/dariq-whitehead-1.html
23,"Rupert, Rayan",SF,New Zealand,5/31/04,20.10,"6'6""",193,"7'2""","9.5""","8'10""",11.18,,3.43,32.5,25,27.75,20,26,34,31,24,36,23,28,28,17.3,5.9,0.5,1.6,2.1,0.9,0.7,0.2,1.1,1.9,2.0,5.7,0.350,1.5,3.4,0.427,0.5,2.3,0.236,1.4,2.0,0.709,1.036,12.3,1.0,3.4,4.5,1.9,1.5,0.4,2.2,3.9,4.2,7.1,4.8,4.1,https://basketball.realgm.com/player/Rayan-Rupert/Summary/152400
24,"Lewis, Maxwell",SG,Pepperdine,7/27/02,21.94,"6'7""",207,"7'0""","9.5""","8'8.5""",11.40,,3.43,36.5,26,28.25,31,15,35,27,27,33,31,27,31,31.4,17.1,1.2,4.5,5.7,2.8,0.8,0.8,3.3,2.7,6.1,13.0,0.469,4.6,8.7,0.529,1.5,4.3,0.349,3.5,4.4,0.795,1.064,19.6,1.4,5.2,6.5,3.2,0.9,0.9,3.8,3.1,7.0,10.0,4.9,5.0,https://www.sports-reference.com/cbb/players/maxwell-lewis-1.html
25,"Jones, Colby",SG,Xavier,5/28/02,22.10,"6'5""",199,"6'8""","8.5""","8'7""",11.14,3.09,3.33,35.0,27,28.63,28,48,27,33,26,21,24,22,36,34.0,15.0,1.3,4.5,5.8,4.4,1.3,0.6,2.3,2.1,5.8,11.3,0.513,4.5,8.0,0.563,1.3,3.3,0.394,2.3,3.4,0.676,1.028,15.9,1.4,4.8,6.1,4.7,1.4,0.6,2.4,2.2,6.1,8.5,3.5,3.6,https://www.sports-reference.com/cbb/players/colby-jones-1.html
26,"Podziemski, Brandin",SG,Santa Clara,2/25/03,21.36,"6'5""",204,6'5.5',"10""","8'0.5""",11.16,3.09,3.21,39.0,28,29.25,27,36,42,28,28,25,30,18,32,36.0,19.9,1.8,7.0,8.8,3.7,1.8,0.5,2.3,1.9,6.9,14.4,0.479,4.4,8.6,0.512,2.5,5.8,0.431,3.5,4.5,0.778,1.120,19.9,1.8,7.0,8.8,3.7,1.8,0.5,2.3,1.9,6.9,8.6,5.8,4.5,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html
27,"Jackson II, GG",PF,South Carolina,12/17/04,19.55,"6'9""",214,"6'11.5""","10""","8'10""",11.39,,3.21,37.0,29,30.00,33,18,36,35,30,31,37,20,32,31.9,15.4,1.5,4.4,5.9,0.8,0.8,0.8,2.7,1.5,5.5,14.4,0.382,3.8,9.1,0.418,1.7,5.3,0.321,2.6,3.9,0.667,1.067,17.4,1.7,5.0,6.7,0.9,0.9,0.9,3.0,1.7,6.2,10.3,6.0,4.4,https://www.sports-reference.com/cbb/players/gregory-jackson-ii-1.html
28,"Jaquez Jr, Jaime",SF,UCLA,2/18/01,23.38,"6'6""",226,"6'9.5""","9.5""","8'3.5""",11.21,,3.33,39.0,30,30.75,30,38,23,25,33,32,28,37,37,33.2,17.8,2.6,5.6,8.2,2.4,1.5,0.6,1.8,1.9,7.1,14.7,0.483,6.2,11.9,0.521,0.9,2.8,0.321,2.8,3.6,0.778,1.025,19.3,2.8,6.1,8.9,2.6,1.6,0.7,2.0,2.1,7.7,12.9,3.0,3.9,https://www.sports-reference.com/cbb/players/jaime-jaquezjr-1.html
29,"Jackson-Davis, Trayce",C,Indiana,2/22/00,24.37,"6'9""",240,"7'1""","10.75""","8'10""",11.80,3.16,3.20,36.5,31,31.75,38,20,39,29,29,29,34,36,32,34.5,20.9,2.8,8.0,10.8,4.0,0.8,2.9,2.5,1.7,8.2,14.1,0.582,8.2,14.1,0.582,0.0,0.0,0.000,4.6,6.6,0.697,0.941,21.8,2.9,8.3,11.3,4.2,0.8,3.0,2.6,1.8,8.6,14.7,0.0,6.9,https://www.sports-reference.com/cbb/players/trayce-jackson-davis-1.html
30,"Nnaji, James",C,Spain,8/14/04,19.89,"6'11""",250,"7'5""",,,,,,,32,33.25,24,45,40,39,32,24,29,33,26,12.2,4.9,1.2,1.8,3.0,0.3,0.3,0.7,0.9,1.5,2.0,3.1,0.662,2.0,3.1,0.662,0.0,0.0,0.000,0.9,1.7,0.491,0.878,14.5,3.6,5.2,8.9,0.9,0.9,2.2,2.7,4.5,6.0,9.1,0.0,5.1,https://basketball.realgm.com/player/James-Nnaji/Summary/168792
31,"Jackson Jr, Andre",SF,UConn,11/13/01,22.64,"6'6""",198,"6'10""","9.5""","8'7""",10.83,,3.14,39.5,33,33.88,32,30,29,26,31,37,61,25,36,29.1,6.7,1.9,4.3,6.2,4.7,1.1,0.5,2.0,2.8,2.6,5.9,0.441,1.9,3.4,0.559,0.7,2.5,0.280,0.9,1.3,0.692,1.056,8.3,2.4,5.3,7.7,5.8,1.4,0.6,2.5,3.5,3.2,4.2,3.1,1.6,https://www.sports-reference.com/cbb/players/andre-jackson-8.html
32,"Prosper, Olivier-Maxense",PF,Marquette,7/3/02,22.01,"6'8""",212,"7'1""","10""","8'8""",10.59,3.00,3.21,40.5,34,35.13,29,47,24,30,36,22,32,61,36,29.1,12.5,1.7,3.0,4.7,0.7,0.9,0.1,1.4,2.3,4.2,8.1,0.519,3.1,4.9,0.633,1.1,3.2,0.344,3.1,4.2,0.738,1.033,15.5,2.1,3.7,5.8,0.9,1.1,0.1,1.7,2.8,5.2,6.1,4.0,5.2,https://www.sports-reference.com/cbb/players/olivier-maxence-prosper-1.html
33,"Bailey, Amari",SG,UCLA,2/17/04,20.38,"6'5""",191,"6'7""","9.25""","8'7.5""",11.34,,3.19,35.0,35,36.63,43,31,38,21,42,43,44,31,30,26.9,11.2,0.8,3.0,3.8,2.2,1.1,0.3,2.4,1.7,4.5,9.1,0.495,3.8,7.3,0.521,0.7,1.8,0.389,1.5,2.1,0.714,1.032,15.0,1.1,4.0,5.1,2.9,1.5,0.4,3.2,2.3,6.0,9.8,2.4,2.8,https://www.sports-reference.com/cbb/players/amari-bailey-1.html
34,"Cissoko, Sidy",SF,G-League Ignite,4/2/04,20.26,"6'7""",224,"6'10""","10""","8'8""",11.24,,3.31,35.5,36,37.00,40,34,32,42,34,27,39,48,28,29.3,12.8,0.8,2.0,2.8,3.5,1.2,1.0,1.9,3.3,4.3,9.5,0.453,3.2,5.9,0.542,1.1,3.6,0.306,1.8,2.7,0.667,1.166,15.7,1.0,2.5,3.4,4.3,1.5,1.2,2.3,4.1,5.3,7.2,4.4,3.3,https://www.basketball-reference.com/gleague/players/c/cissosi01d.html
35,"Sasser, Marcus",PG,Houston,9/21/00,23.79,"6'1""",196,"6'7""","9.5""","8'3.5""",10.68,,3.43,35.0,37,37.63,37,37,31,49,35,42,27,43,36,30.8,16.8,0.4,2.5,2.9,3.1,1.6,0.2,1.6,1.5,5.3,12.1,0.438,2.6,5.2,0.500,2.7,6.9,0.391,3.6,4.2,0.857,1.175,19.6,0.5,2.9,3.4,3.6,1.9,0.2,1.9,1.8,6.2,6.1,8.1,4.9,https://www.sports-reference.com/cbb/players/marcus-sasser-1.html
36,"Strawther, Julian",SF,Gonzaga,4/18/02,22.21,"6'7""",209,"6'9""","8.25""","8'9""",10.94,,3.34,30.5,38,37.75,48,25,46,34,37,38,35,39,37,31.2,15.2,0.8,5.5,6.3,1.3,0.8,0.4,1.5,2.1,5.1,10.9,0.468,2.9,5.6,0.518,2.2,5.3,0.415,2.8,3.6,0.778,1.137,17.5,0.9,6.3,7.3,1.5,0.9,0.5,1.7,2.4,5.9,6.5,6.1,4.2,https://www.sports-reference.com/cbb/players/julian-strawther-1.html
37,"Sheppard, Ben",SG,Belmont,7/16/01,22.97,"6'6""",165,"5'8""","9.5""","8'4""",10.88,2.94,3.17,35.5,39,39.63,36,55,28,44,45,34,41,34,32,34.4,18.8,0.6,4.6,5.2,2.9,1.4,0.2,2.2,2.1,4.3,8.2,0.524,1.8,2.2,0.818,2.5,6.0,0.417,2.8,4.2,0.667,1.529,19.7,0.6,4.8,5.4,3.0,1.5,0.2,2.3,2.2,4.5,2.3,6.3,4.4,https://www.sports-reference.com/cbb/players/ben-sheppard-1.html
38,"Phillips, Julian",SF,Tennessee,11/5/03,20.67,"6'8""",197,"6'11.5""","9""","8'6""",11.09,,3.32,43.0,40,40.00,34,46,33,32,38,40,36,61,32,24.1,8.3,1.8,2.9,4.7,1.4,0.6,0.5,1.3,1.8,2.5,6.0,0.417,2.2,4.6,0.478,0.3,1.4,0.214,3.0,3.7,0.811,1.005,12.4,2.7,4.3,7.0,2.1,0.9,0.7,1.9,2.7,3.7,6.9,2.1,5.5,https://www.sports-reference.com/cbb/players/julian-phillips-1.html
39,"Smith, Terquavion",SG,North Carolina State,12/31/02,21.51,"6'4""",163,"6'7""","8""","8'2""",10.86,,3.21,37.0,41,40.88,41,33,53,37,41,47,43,32,34,33.6,17.9,0.7,2.9,3.6,4.1,1.4,0.4,2.2,2.4,6.1,16.1,0.379,3.4,8.1,0.420,2.7,8.0,0.338,3.0,4.3,0.698,1.120,19.2,0.8,3.1,3.9,4.4,1.5,0.4,2.4,2.6,6.5,8.7,8.6,4.6,https://www.sports-reference.com/cbb/players/terquavion-smith-1.html
40,"Wilson, Jalen",SF,Kansas,11/4/00,23.67,"6'8""",230,"6'8""","9""","8'3.5""",11.26,3.09,3.20,35.0,42,41.00,42,35,37,45,39,52,33,45,36,35.4,20.1,1.6,6.7,8.3,2.2,0.9,0.5,2.3,2.1,6.9,16.0,0.431,5.0,10.2,0.490,1.9,5.8,0.328,4.4,5.5,0.800,1.078,20.4,1.6,6.8,8.4,2.2,0.9,0.5,2.3,2.1,7.0,10.4,5.9,5.6,https://www.sports-reference.com/cbb/players/jalen-wilson-1.html
41,"Brown, Kobe",PF,Missouri,1/1/00,24.51,"6'7""",252,"7'1""","9.75""","8'10.5""",11.39,3.23,3.33,32.0,43,41.88,44,57,30,40,43,48,38,35,34,29.6,15.8,1.8,4.6,6.4,2.5,1.5,0.4,1.6,2.5,5.7,10.3,0.553,4.2,7.0,0.600,1.5,3.3,0.455,2.9,3.7,0.784,1.078,19.2,2.2,5.6,7.8,3.0,1.8,0.5,1.9,3.0,6.9,8.5,4.0,4.5,https://www.sports-reference.com/cbb/players/kobe-brown-1.html
42,"Walsh, Jordan",SF,Arkansas,3/3/04,20.34,"6'7""",204,"7'2""","8.5""","8'11""",10.83,,3.30,36.0,44,43.00,39,53,41,46,44,39,42,40,36,24.4,7.1,1.2,2.7,3.9,0.9,1.1,0.5,1.0,2.9,2.6,6.0,0.433,2.0,4.0,0.500,0.6,2.0,0.300,1.3,1.8,0.722,1.047,10.5,1.8,4.0,5.8,1.3,1.6,0.7,1.5,4.3,3.8,5.9,3.0,2.7,https://www.sports-reference.com/cbb/players/jordan-walsh-1.html
43,"Council IV, Ricky",SF,Arkansas,8/3/01,22.92,"6'6""",208,"6'9""","8.5""","8'7""",11.20,3.12,3.33,37.0,45,44.63,51,41,43,36,47,56,45,38,36,64.1,16.1,0.9,2.7,3.6,2.3,1.1,0.3,2.1,1.8,5.2,12.0,0.433,4.3,8.5,0.506,0.9,3.5,0.257,4.8,6.1,0.787,1.021,9.0,0.5,1.5,2.0,1.3,0.6,0.2,1.2,1.0,2.9,4.8,2.0,3.4,https://www.sports-reference.com/cbb/players/ricky-counciliv-1.html
44,"Lundy, Seth",SF,Penn State,4/2/00,24.26,"6'6""",214,"6'10""","9""","8'8""",11.02,,3.15,35.5,46,47.63,47,42,47,52,51,41,40,61,36,31.7,14.2,0.3,5.3,5.6,0.9,0.8,0.6,0.9,2.2,4.6,10.2,0.451,2.0,3.8,0.526,2.6,6.4,0.406,2.4,3.0,0.800,1.199,16.1,0.3,6.0,6.4,1.0,0.9,0.7,1.0,2.5,5.2,4.3,7.3,3.4,https://www.sports-reference.com/cbb/players/seth-lundy-1.html
45,"Miller, Jordan",SF,Miami,1/23/00,24.45,"6'6""",192,"7'0""","9.25""","8'7.5""",11.43,3.21,3.17,36.5,47,51.38,55,49,50,48,52,46,50,61,37,35.0,15.3,2.1,4.2,6.3,2.7,1.2,0.4,1.3,1.7,5.9,10.8,0.546,5.0,8.3,0.602,0.9,2.5,0.360,2.6,3.4,0.765,1.034,15.7,2.2,4.3,6.5,2.8,1.2,0.4,1.3,1.7,6.1,8.5,2.6,3.5,https://www.sports-reference.com/cbb/players/jordan-miller-2.html
46,"Sanogo, Adama",C,UConn,2/12/02,22.40,"6'9""",258,"7'3""","10""","8'0.5""",11.50,,3.31,31.0,48,52.13,57,44,48,47,49,50,61,61,39,26.5,17.2,2.6,5.1,7.7,1.3,0.7,0.8,1.9,2.7,7.1,11.7,0.607,6.6,10.4,0.635,0.5,1.3,0.385,2.5,3.3,0.758,1.006,23.4,3.5,6.9,10.5,1.8,1.0,1.1,2.6,3.7,9.6,14.1,1.8,4.5,https://www.sports-reference.com/cbb/players/adama-sanogo-1.html
47,"Vukcevic, Tristan",C,Serbia,3/11/03,21.32,"6'10""",223,7'2.5,"10.25""","9'3""",11.71,3.24,3.43,30.5,49,53.00,35,119,58,43,40,35,47,47,22,14.8,8.1,0.8,2.4,3.2,1.0,0.5,0.5,1.1,2.2,3.0,5.1,0.588,2.2,3.1,0.710,0.8,2.0,0.400,1.4,1.7,0.824,1.081,19.7,1.9,5.8,7.8,2.4,1.2,1.2,2.7,5.4,7.3,7.5,4.9,4.1,https://www.basketball-reference.com/international/players/tristan-tslikis-1.html
48,"Clark, Jaylen",SG,UCLA,10/13/01,22.73,"6'5""",204,"6'9""","9""","8'5.5""",,,,,50,53.25,53,66,51,50,50,49,46,61,30,30.5,13.0,1.9,4.1,6.0,1.9,2.6,0.3,1.2,2.1,4.9,10.3,0.476,4.0,7.7,0.519,0.9,2.6,0.346,2.2,3.2,0.688,1.030,15.3,2.2,4.8,7.1,2.2,3.1,0.4,1.4,2.5,5.8,9.1,3.1,3.8,https://www.sports-reference.com/cbb/players/jaylen-clark-1.html
